param0,param1,param2,train_time,accuracy,fbeta,penalities,precision,recall,support,test_time,windowed_accuracy,windowed_support
32,32,0,20.436671018600464,0.98396,[0.99177149 0.68350434],12500,[0.99553029 0.59682977],[0.98804097 0.79963066],[48917  1083],2.6081888675689697,1.0,[3333]
32,32,1,19.38030505180359,0.98934,[0.99448999 0.83685338],0,[0.99075161 0.94210889],[0.99825668 0.7527533 ],[48184  1816],2.5725579261779785,1.0,[3333]
32,32,2,26.510596990585327,0.99046,[0.99508009 0.84345258],0,[0.9935941  0.88559614],[0.99657053 0.80513784],[48404  1596],3.481760025024414,1.0,[3333]
64,32,0,20.09893012046814,0.98172,[0.99064828 0.59628975],396,[0.99715751 0.46519642],[0.98422347 0.8302583 ],[49187   813],2.578378915786743,1.0,[3333]
64,32,1,20.19124412536621,0.97928,[0.98942857 0.482     ],12500,[0.99861995 0.3321847 ],[0.98040485 0.87795993],[49451   549],2.619175910949707,1.0,[3333]
64,32,2,26.567800045013428,0.98902,[0.99433629 0.82099772],0,[0.9926466  0.86767746],[0.99603175 0.77908416],[48384  1616],3.458876848220825,1.0,[3333]
128,32,0,21.839130878448486,0.98352,[0.99153309 0.69253731],23329,[0.99380008 0.63955892],[0.98927641 0.75508544],[48771  1229],2.634432792663574,1.0,[3333]
128,32,1,21.908727169036865,0.98358,[0.99159406 0.64779065],97,[0.99742528 0.52033081],[0.98583062 0.85795455],[49120   880],2.6523520946502686,1.0,[3333]
128,32,2,27.492559909820557,0.9902,[0.99493676 0.84801489],0,[0.99163731 0.94210889],[0.99825824 0.77100959],[48227  1773],3.5493810176849365,1.0,[3333]
256,32,0,24.524592876434326,0.98452,[0.99205192 0.70435447],101,[0.99495355 0.63542385],[0.98916716 0.79005998],[48833  1167],2.7780561447143555,1.0,[3333]
256,32,1,24.606611013412476,0.98464,[0.99208345 0.74297189],97,[0.99120476 0.76498966],[0.9929637  0.72218608],[48463  1537],2.7329609394073486,1.0,[3333]
256,32,2,28.80825901031494,0.98948,[0.99457284 0.82922078],0,[0.99274959 0.8800827 ],[0.9964028  0.78391651],[48371  1629],3.614866018295288,1.0,[3333]
