param0,param1,param2,train_time,accuracy,fbeta,penalities,precision,recall,support,test_time,windowed_accuracy,windowed_support
32,32,0,37.52557396888733,0.99716,[0.99819943 0.9932816 ],0,[0.99703632 0.99762403],[0.99936526 0.98897682],[39386 10614],2.6101670265197754,1.0,[3333]
32,32,1,20.06818985939026,0.99684,[0.99799604 0.99253167],0,[0.99658037 0.9978141 ],[0.99941574 0.98730487],[39366 10634],2.5783019065856934,1.0,[3333]
32,32,2,27.271557092666626,0.99668,[0.99789361 0.99216686],-97,[0.9960231  0.99914465],[0.99977117 0.98528585],[39330 10670],4.743035078048706,1.0,[3333]
64,32,0,21.17891788482666,0.99728,[0.9982766  0.99355022],0,[0.99774558 0.99553317],[0.9988082  0.99157516],[39436 10564],2.6259729862213135,1.0,[3333]
64,32,1,21.03444004058838,0.9968,[0.99797057 0.99243856],0,[0.99650438 0.99790914],[0.99944109 0.98702764],[39362 10638],2.6552438735961914,1.0,[3333]
64,32,2,27.42845320701599,0.9973,[0.99828969 0.99359187],-97,[0.99799889 0.99467782],[0.99858066 0.9925083 ],[39455 10545],3.4410669803619385,1.0,[3333]
128,32,0,22.70688486099243,0.99734,[0.99831396 0.99370176],-14358,[0.99739095 0.99714883],[0.99923868 0.99027843],[39405 10595],2.6372931003570557,1.0,[3333]
128,32,1,22.697988986968994,0.99504,[0.99686528 0.98812602],-97,[0.99886012 0.98070709],[0.99487839 0.99565805],[39636 10364],2.6503050327301025,1.0,[3333]
128,32,2,28.42699098587036,0.99734,[0.99831392 0.99370235],-14358,[0.99736562 0.99724387],[0.99926402 0.9901859 ],[39403 10597],3.483532190322876,1.0,[3333]
256,32,0,25.50012516975403,0.99742,[0.99836583 0.99387493],-97,[0.99815087 0.99467782],[0.99858088 0.99307335],[39461 10539],2.688840866088867,1.0,[3333]
256,32,1,25.651911973953247,0.99732,[0.99830079 0.99366131],0,[0.99708699 0.99819426],[0.99951755 0.98916934],[39382 10618],2.6944141387939453,1.0,[3333]
256,32,2,29.667664051055908,0.9962,[0.99759628 0.99093338],-97,[0.99870814 0.98678958],[0.99648688 0.99511213],[39566 10434],3.513715982437134,1.0,[3333]
