param0,param1,param2,train_time,accuracy,fbeta,penalities,precision,recall,support,test_time,windowed_accuracy,windowed_support
32,32,0,20.298240900039673,0.9862,[0.99290445 0.74963716],24219,[0.99519687 0.69328859],[0.99062256 0.81595577],[48734  1266],2.615017890930176,1.0,[3333]
32,32,1,19.388228178024292,0.9831,[0.99132025 0.68077068],894,[0.99472274 0.60469799],[0.98794095 0.77873812],[48843  1157],2.5691370964050293,1.0,[3333]
32,32,2,26.425466060638428,0.98872,[0.9941662  0.83022276],0,[0.99066172 0.92550336],[0.99769557 0.75272926],[48168  1832],3.437904119491577,1.0,[3333]
64,32,0,20.164260149002075,0.99012,[0.99489205 0.84975669],0,[0.99173366 0.93758389],[0.99807062 0.77697442],[48202  1798],2.6224420070648193,1.0,[3333]
64,32,1,20.18397092819214,0.99004,[0.99486004 0.83997429],37498,[0.99350649 0.87718121],[0.99621729 0.80579531],[48378  1622],2.5773608684539795,1.0,[3333]
64,32,2,26.647600173950195,0.98938,[0.99452222 0.82664055],0,[0.99367141 0.84966443],[0.99537448 0.80483153],[48427  1573],3.4310829639434814,1.0,[3333]
128,32,0,21.74520993232727,0.98308,[0.99128464 0.7112628 ],26084,[0.99179551 0.69932886],[0.9907743  0.72361111],[48560  1440],2.678656816482544,1.0,[3333]
128,32,1,21.76020097732544,0.9839,[0.99172772 0.70040938],26088,[0.99472274 0.63154362],[0.98875069 0.786132  ],[48803  1197],2.6480281352996826,1.0,[3333]
128,32,2,27.395955085754395,0.98846,[0.99402908 0.82852897],0,[0.99008452 0.93557047],[0.99800519 0.74346667],[48125  1875],3.5001537799835205,1.0,[3333]
256,32,0,24.492647886276245,0.97822,[0.98888197 0.46903949],34422,[0.99835086 0.32281879],[0.97959101 0.8573975 ],[49439   561],2.7687289714813232,1.0,[3333]
256,32,1,24.792551040649414,0.98278,[0.99113915 0.69586718],894,[0.99266131 0.66107383],[0.98962165 0.73452647],[48659  1341],2.714423894882202,1.0,[3333]
256,32,2,28.85304284095764,0.98856,[0.99408002 0.83066903],0,[0.99000206 0.94161074],[0.99819172 0.74311441],[48112  1888],3.5392239093780518,1.0,[3333]
