param0,param1,param2,train_time,accuracy,fbeta,penalities,precision,recall,support,test_time,windowed_accuracy,windowed_support
32,32,0,26.928972959518433,0.95952,[0.97524401 0.88904725],218,[0.97529173 0.88885235],[0.9751963  0.88924224],[40881  9119],2.6122610569000244,1.0,[3333]
32,32,1,19.459058046340942,0.93358,[0.96046664 0.79237262],195,[0.98691196 0.694618  ],[0.9354016  0.92214785],[43128  6872],2.536860942840576,1.0,[3333]
32,32,2,26.624726057052612,0.95532,[0.97231311 0.88432063],195,[0.959635   0.93598597],[0.98533069 0.83806065],[39811 10189],3.445988893508911,1.0,[3333]
64,32,0,20.222409963607788,0.9598,[0.97519743 0.89398734],195,[0.96668053 0.92897073],[0.98386575 0.86154315],[40163  9837],2.624346971511841,1.0,[3333]
64,32,1,20.40954303741455,0.96346,[0.9775787  0.90132325],195,[0.97436211 0.91461142],[0.98081659 0.88841567],[40608  9392],2.597095012664795,1.0,[3333]
64,32,2,26.87034296989441,0.96286,[0.9771094  0.90161589],195,[0.9695917  0.93269758],[0.98474458 0.87253897],[40248  9752],3.4463510513305664,1.0,[3333]
128,32,0,22.06562113761902,0.96314,[0.97743053 0.89951475],195,[0.97629474 0.90419818],[0.97856898 0.89487958],[40782  9218],2.633723020553589,1.0,[3333]
128,32,1,21.96194100379944,0.95922,[0.97508949 0.88763983],24,[0.97627027 0.88282363],[0.97391156 0.89250887],[40976  9024],2.6393399238586426,1.0,[3333]
128,32,2,27.578840970993042,0.95846,[0.97425792 0.89246699],195,[0.9615187  0.94475501],[0.98733923 0.84566327],[39808 10192],3.4886741638183594,1.0,[3333]
256,32,0,24.67629909515381,0.96022,[0.97526888 0.8983908 ],195,[0.95941483 0.96382769],[0.99165571 0.8412744 ],[39548 10452],2.7333641052246094,1.0,[3333]
256,32,1,24.65836000442505,0.96414,[0.97799109 0.90325366],195,[0.97455782 0.91746136],[0.98144863 0.88947928],[40590  9410],2.6979269981384277,1.0,[3333]
256,32,2,29.098987817764282,0.96014,[0.9754946  0.89325692],195,[0.97042347 0.91406336],[0.98061901 0.87337662],[40452  9548],3.540985107421875,1.0,[3333]
